zip,area,sub_area,examinees
02135,Brighton,Brighton Center,55
02116,Boston,Back Bay,33
02128,Boston,East Boston,32
02130,Boston,Jamaica Plain,31
02115,Boston,The Fenway,30
02138,Cambridge,Cambridgeport,28
02118,Boston,South End,25
02129,Boston,Charlestown,24
02108,Boston,Beacon Hill,23
02142,Cambridge,Kendall Square,22
02114,Boston,West End,21
02139,Cambridge,Central Square,21
02143,Somerville,Inman Square,21
02144,Somerville,Davis Square,21
02145,Somerville,Winter Hill,21
02155,Medford,Medford Hillside,21
02169,Quincy,Quincy Center,21
02124,Boston,Codman Square,20
02125,Boston,Uphams Corner,20
02134,Boston,Allston Village,20
02176,Melrose,Melrose Highlands,20
02180,Stoneham,Stoneham Center,20
02148,Malden,Malden Center,19
02149,Everett,Everett Square,19
02151,Revere,Revere Beach,19
02171,Quincy,North Quincy,19
02184,Braintree,Braintree Highlands,19
02186,Milton,Milton Village,19
02190,Weymouth,South Weymouth,19
02301,Brockton,Brockton Downtown,19
02302,Brockton,Campello,19
02324,Bridgewater,Bridgewater Center,19
02339,Hanover,Hanover Center,19
02341,Hanson,Hanson Center,19
02359,Pembroke,Pembroke Center,19
02360,Plymouth,Plymouth Center,19
02364,Kingston,Kingston Center,19
02368,Randolph,Randolph Center,19
02379,West Bridgewater,West Bridgewater Center,19
02420,Lexington,Lexington Center,19
02421,Lexington,Lexington East,19
02446,Brookline,Coolidge Corner,19
02458,Newton,Newton Lower Falls,19
02459,Newton,Newton Centre,19
02467,Newton,Chestnut Hill,19
02472,Watertown,Watertown Square,19
02474,Arlington,Arlington Heights,19
02478,Belmont,Belmont Center,19
02492,Needham,Needham Center,19
01801,Woburn,Woburn Center,18
01803,Burlington,Burlington Center,18
01810,Andover,Andover Center,18
01826,Dracut,Dracut Center,18
01844,Methuen,Methuen Center,18
01852,Lowell,Lowell Highlands,18
01915,Beverly,Beverly Farms,18
01923,Danvers,Danversport,18
01930,Gloucester,Gloucester Harbor,18
01938,Ipswich,Ipswich Center,18
01950,Newburyport,Newburyport Center,18
01960,Peabody,Peabody Square,18
01970,Salem,Salem Common,18
01108,Springfield,Metro Center,17
01118,Springfield,East Forest Park,17
01604,Worcester,Shrewsbury Street,17
01609,Worcester,West Side,17
01701,Framingham,Framingham Centre,17
01702,Framingham,Saxonville,17
01720,Acton,Acton Center,17
01730,Bedford,Bedford Center,17
01742,Concord,Concord Center,17
01748,Hopkinton,Hopkinton Center,17
01752,Marlborough,Marlborough Center,17
01760,Natick,Natick Center,17
01770,Sherborn,Sherborn Center,17
01772,Southborough,Southborough Center,17
01776,Sudbury,Sudbury Center,17
01778,Wayland,Wayland Center,17
01001,Agawam,Agawam Center,15
01002,Amherst,Amherst Center,15
01007,Belchertown,Belchertown Center,15
01020,Chicopee,Chicopee Center,15
01027,Easthampton,Easthampton Center,15
01028,East Longmeadow,East Longmeadow Center,15
